TrendID	ProductGroupID	TrendDescription	TrendDate
120	12	Trend_120	2023-04-30 00:00:00
121	16	Trend_121	2023-05-01 00:00:00
122	8	Trend_122	2023-05-02 00:00:00
123	5	Trend_123	2023-05-03 00:00:00
124	4	Trend_124	2023-05-04 00:00:00
125	19	Trend_125	2023-05-05 00:00:00
126	20	Trend_126	2023-05-06 00:00:00
127	5	Trend_127	2023-05-07 00:00:00
128	5	Trend_128	2023-05-08 00:00:00
129	6	Trend_129	2023-05-09 00:00:00
130	18	Trend_130	2023-05-10 00:00:00
131	18	Trend_131	2023-05-11 00:00:00
132	19	Trend_132	2023-05-12 00:00:00
133	13	Trend_133	2023-05-13 00:00:00
134	15	Trend_134	2023-05-14 00:00:00
135	5	Trend_135	2023-05-15 00:00:00
136	15	Trend_136	2023-05-16 00:00:00
137	2	Trend_137	2023-05-17 00:00:00
138	9	Trend_138	2023-05-18 00:00:00
139	9	Trend_139	2023-05-19 00:00:00
140	14	Trend_140	2023-05-20 00:00:00
141	4	Trend_141	2023-05-21 00:00:00
142	7	Trend_142	2023-05-22 00:00:00
143	16	Trend_143	2023-05-23 00:00:00
144	5	Trend_144	2023-05-24 00:00:00
145	13	Trend_145	2023-05-25 00:00:00
146	18	Trend_146	2023-05-26 00:00:00
147	2	Trend_147	2023-05-27 00:00:00
148	2	Trend_148	2023-05-28 00:00:00
149	7	Trend_149	2023-05-29 00:00:00
150	5	Trend_150	2023-05-30 00:00:00
151	17	Trend_151	2023-05-31 00:00:00
152	6	Trend_152	2023-06-01 00:00:00
153	9	Trend_153	2023-06-02 00:00:00
154	2	Trend_154	2023-06-03 00:00:00
155	11	Trend_155	2023-06-04 00:00:00
156	12	Trend_156	2023-06-05 00:00:00
157	10	Trend_157	2023-06-06 00:00:00
158	16	Trend_158	2023-06-07 00:00:00
159	6	Trend_159	2023-06-08 00:00:00
160	12	Trend_160	2023-06-09 00:00:00
161	8	Trend_161	2023-06-10 00:00:00
162	19	Trend_162	2023-06-11 00:00:00
163	1	Trend_163	2023-06-12 00:00:00
164	11	Trend_164	2023-06-13 00:00:00
165	13	Trend_165	2023-06-14 00:00:00
166	9	Trend_166	2023-06-15 00:00:00
167	12	Trend_167	2023-06-16 00:00:00
168	14	Trend_168	2023-06-17 00:00:00
169	3	Trend_169	2023-06-18 00:00:00
170	16	Trend_170	2023-06-19 00:00:00
171	19	Trend_171	2023-06-20 00:00:00
172	15	Trend_172	2023-06-21 00:00:00
173	10	Trend_173	2023-06-22 00:00:00
174	19	Trend_174	2023-06-23 00:00:00
175	5	Trend_175	2023-06-24 00:00:00
176	19	Trend_176	2023-06-25 00:00:00
177	12	Trend_177	2023-06-26 00:00:00
178	13	Trend_178	2023-06-27 00:00:00
179	10	Trend_179	2023-06-28 00:00:00
180	6	Trend_180	2023-06-29 00:00:00
181	10	Trend_181	2023-06-30 00:00:00
182	18	Trend_182	2023-07-01 00:00:00
183	8	Trend_183	2023-07-02 00:00:00
184	8	Trend_184	2023-07-03 00:00:00
185	4	Trend_185	2023-07-04 00:00:00
186	18	Trend_186	2023-07-05 00:00:00
187	13	Trend_187	2023-07-06 00:00:00
188	14	Trend_188	2023-07-07 00:00:00
189	14	Trend_189	2023-07-08 00:00:00
190	18	Trend_190	2023-07-09 00:00:00
191	14	Trend_191	2023-07-10 00:00:00
192	5	Trend_192	2023-07-11 00:00:00
193	8	Trend_193	2023-07-12 00:00:00
194	9	Trend_194	2023-07-13 00:00:00
195	16	Trend_195	2023-07-14 00:00:00
196	13	Trend_196	2023-07-15 00:00:00
197	5	Trend_197	2023-07-16 00:00:00
198	9	Trend_198	2023-07-17 00:00:00
199	15	Trend_199	2023-07-18 00:00:00
200	4	Trend_200	2023-07-19 00:00:00
1	Group_1
2	Group_2
3	Group_3
4	Group_4
5	Group_5
6	Group_6
7	Group_7
8	Group_8
9	Group_9
10	Group_10
11	Group_11
12	Group_12
13	Group_13
14	Group_14
15	Group_15
16	Group_16
17	Group_17
18	Group_18
19	Group_19
20	Group_20
